Cereal Name,Manufacturer,Calories,Protein (g),Fat,Sugars,Vitamins and Minerals
100%_Bran,Nabisco,70,4,1,6,25
100%_Natural_Bran,Quaker Oats,120,3,5,8,0
All-Bran,Kelloggs,70,4,1,5,25
All-Bran_with_Extra_Fiber,Kelloggs,50,4,0,0,25
Almond_Delight,Ralston Purina,110,2,2,8,25
Apple_Cinnamon_Cheerios,General Mills,110,2,2,10,25
Apple_Jacks,Kelloggs,110,2,0,14,25
Basic_4,General Mills,130,3,2,8,25
Bran_Chex,Ralston Purina,90,2,1,6,25
Bran_Flakes,Post,90,3,0,5,25
Cap'n'Crunch,Quaker Oats,120,1,2,12,25
Cheerios,General Mills,110,6,2,1,25
Cinnamon_Toast_Crunch,General Mills,120,1,3,9,25
Clusters,General Mills,110,3,2,7,25
Cocoa_Puffs,General Mills,110,1,1,13,25
Corn_Chex,Ralston Purina,110,2,0,3,25
Corn_Flakes,Kelloggs,100,2,0,2,25
Corn_Pops,Kelloggs,110,1,0,12,25
Count_Chocula,General Mills,110,1,1,13,25
Cracklin'_Oat_Bran,Kelloggs,110,3,3,7,25
Cream_of_Wheat_(Quick),Nabisco,100,3,0,0,0
Crispix,Kelloggs,110,2,0,3,25
Crispy_Wheat_&_Raisins,General Mills,100,2,1,10,25
Double_Chex,Ralston Purina,100,2,0,5,25
Froot_Loops,Kelloggs,110,2,1,13,25
Frosted_Flakes,Kelloggs,110,1,0,11,25
Frosted_Mini-Wheats,Kelloggs,100,3,0,7,25
Fruitful_Bran,Kelloggs,120,3,0,12,25
Fruity_Pebbles,Post,110,1,1,12,25
Golden_Crisp,Post,100,2,0,15,25
Golden_Grahams,General Mills,110,1,1,9,25
Grape_Nuts_Flakes,Post,100,3,1,5,25
Grape-Nuts,Post,110,3,0,3,25
Great_Grains_Pecan,Post,120,3,3,4,25
Honey_Graham_Ohs,Quaker Oats,120,1,2,11,25
Honey_Nut_Cheerios,General Mills,110,3,1,10,25
Honey-comb,Post,110,1,0,11,25
Just_Right_Crunchy__Nuggets,Kelloggs,110,2,1,6,100
Just_Right_Fruit_&_Nut,Kelloggs,140,3,1,9,100
Kix,General Mills,110,2,1,3,25
Life,Quaker Oats,100,4,2,6,25
Lucky_Charms,General Mills,110,2,1,12,25
Maypo,American Home Food Products,100,4,1,3,25
Mueslix_Crispy_Blend,Kelloggs,160,3,2,13,25
Multi-Grain_Cheerios,General Mills,100,2,1,6,25
Nut&Honey_Crunch,Kelloggs,120,2,1,9,25
Nutri-Grain_Almond-Raisin,Kelloggs,140,3,2,7,25
Nutri-grain_Wheat,Kelloggs,90,3,0,2,25
Oatmeal_Raisin_Crisp,General Mills,130,3,2,10,25
Post_Nat._Raisin_Bran,Post,120,3,1,14,25
Product_19,Kelloggs,100,3,0,3,100
Puffed_Rice,Quaker Oats,50,1,0,0,0
Puffed_Wheat,Quaker Oats,50,2,0,0,0
Quaker_Oat_Squares,Quaker Oats,100,4,1,6,25
Quaker_Oatmeal,Quaker Oats,100,5,2,-1,0
Raisin_Bran,Kelloggs,120,3,1,12,25
Raisin_Nut_Bran,General Mills,100,3,2,8,25
Raisin_Squares,Kelloggs,90,2,0,6,25
Rice_Chex,Ralston Purina,110,1,0,2,25
Rice_Krispies,Kelloggs,110,2,0,3,25
Shredded_Wheat,Nabisco,80,2,0,0,0
Shredded_Wheat_'n'Bran,Nabisco,90,3,0,0,0
Shredded_Wheat_spoon_size,Nabisco,90,3,0,0,0
Smacks,Kelloggs,110,2,1,15,25
Special_K,Kelloggs,110,6,0,3,25
Strawberry_Fruit_Wheats,Nabisco,90,2,0,5,25
Total_Corn_Flakes,General Mills,110,2,1,3,100
Total_Raisin_Bran,General Mills,140,3,1,14,100
Total_Whole_Grain,General Mills,100,3,1,3,100
Triples,General Mills,110,2,1,3,25
Trix,General Mills,110,1,1,12,25
Wheat_Chex,Ralston Purina,100,3,1,3,25
Wheaties,General Mills,100,3,1,3,25
Wheaties_Honey_Gold,General Mills,110,2,1,8,25
