student_id,math,science,cs,band,english,history,spanish,physed
1,46,48,50,74,34,44,39,73
2,66,65,65,66,74,80,75,63
3,55,53,50,76,71,72,76,71
4,53,57,53,80,77,77,85,82
5,55,62,58,67,82,77,78,60
6,37,35,38,72,35,35,43,75
7,71,71,71,68,60,65,73,71
8,47,48,43,68,60,56,62,62
9,38,34,37,63,50,52,51,63
10,84,79,83,66,90,87,90,60
11,43,46,49,72,32,28,31,76
12,54,53,56,71,66,73,80,66
13,55,50,54,61,71,78,78,55
14,55,59,55,78,67,73,78,75
15,58,58,54,66,69,69,70,59
16,37,43,38,75,33,35,36,74
17,57,56,56,75,66,69,77,80
18,51,55,50,61,85,83,85,64
19,66,65,64,77,82,78,82,77
20,40,35,40,74,32,42,35,66
21,63,59,65,78,81,81,79,77
22,53,53,53,71,76,81,76,75
23,46,41,44,67,59,56,65,66
24,62,64,59,76,66,75,74,78
25,67,66,69,61,74,83,78,54
26,47,50,47,75,58,60,63,77
27,41,44,44,60,56,66,63,57
28,44,39,40,60,52,51,62,51
29,63,65,61,62,75,76,79,64
30,21,22,28,78,42,44,43,76
31,53,59,57,78,82,83,87,82
32,47,41,44,71,50,56,52,62
33,43,47,41,62,59,55,66,66
34,37,37,39,77,55,51,60,69
35,36,33,31,74,30,35,39,70
36,46,50,44,60,54,51,60,59
37,88,94,90,66,90,93,97,62
38,55,54,54,69,70,68,67,67
39,41,35,37,65,35,34,35,59
40,93,90,92,79,84,88,96,81
41,41,44,40,72,37,34,46,76
42,45,44,47,66,55,57,62,64
43,45,45,47,67,30,32,33,57
44,37,32,37,64,52,59,65,64
45,58,60,55,71,69,69,70,72
46,53,56,56,73,60,55,57,65
47,45,42,48,78,33,42,35,68
48,52,46,47,79,69,72,81,83
49,49,49,50,68,31,40,41,67
50,52,58,56,64,63,66,72,63
51,57,54,55,73,64,62,67,72
52,42,45,42,80,56,61,63,71
53,62,66,62,80,65,60,71,84
54,40,36,38,79,32,41,33,84
55,56,54,57,79,70,74,79,69
56,44,42,45,63,55,58,59,66
57,45,48,45,74,45,42,40,64
58,61,65,61,63,87,91,89,55
59,46,48,48,62,34,37,46,54
60,48,50,47,66,48,53,46,69
61,87,84,88,71,89,90,90,76
62,46,41,41,63,34,38,37,67
63,35,35,36,73,60,63,72,67
64,56,54,50,61,79,78,86,63
65,41,48,45,72,41,42,37,66
66,82,86,80,60,84,89,95,58
67,53,47,50,66,81,89,80,60
68,36,31,33,62,41,39,35,52
69,47,50,45,64,58,61,66,54
70,60,61,61,68,81,78,88,63
71,55,57,55,72,79,83,88,62
72,51,54,46,72,74,81,76,63
73,63,59,60,79,69,72,81,76
74,49,52,51,71,53,62,53,69
75,44,49,51,64,59,69,68,60
76,36,32,38,61,48,47,46,55
77,48,49,50,72,41,45,46,77
78,62,67,64,79,87,84,85,81
79,47,52,49,75,56,56,52,73
80,90,91,84,78,89,88,91,76
81,47,44,48,78,38,39,38,70
82,42,43,44,74,59,58,57,69
83,58,60,59,60,61,65,65,59
84,64,63,63,77,74,78,85,80
85,54,58,55,79,65,67,70,81
86,54,55,52,78,67,77,80,69
87,61,60,62,74,65,74,71,64
88,48,52,50,80,48,57,48,75
89,47,49,49,71,60,68,72,69
90,87,81,84,67,88,97,99,72
91,47,47,49,67,45,45,55,66
92,53,51,51,66,64,65,69,58
93,87,82,83,67,88,98,98,67
94,62,63,60,63,74,76,73,53
95,53,55,47,67,63,73,76,69
96,87,82,87,61,81,85,90,65
97,45,45,43,73,46,50,44,69
98,30,33,36,64,41,46,47,67
99,46,47,41,71,48,44,50,63
100,53,54,49,64,80,79,77,67
